Time,MotorVoltage,SupplyVoltage,
2694.2051,0.12,12.3,
2694.2093,0.12,12.3,
2694.2133,0.12,12.3,
2694.2173,0.12,12.325,
2694.2214,0.12,12.325,
2694.2254,0.12,12.3,
2694.2294,0.12,12.3,
2694.2333,0.12,12.3,
2694.2373,0.12,12.325,
2694.2412,0.12,12.325,
2694.2412,0.12,12.325,
2694.2454,0,12.325,
2694.2495,0,12.325,
2694.2533,0,12.325,
2694.2573,0,12.325,
2694.2614,0,12.325,
2694.2655,0,12.325,
2694.2693,0,12.325,
2694.2734,0,12.325,
2694.2773,0,12.325,
2694.2813,0,12.325,
2694.2853,0,12.325,
2694.2891,0,12.325,
2694.2933,0,12.325,
2694.297,-0.12,12.325,
2694.3013,-0.12,12.325,
2694.3055,-0.12,12.325,
2694.3055,-0.12,12.325,
2694.3095,-0.12,12.325,
2694.3135,-0.12,12.325,
2694.3173,-0.12,12.325,
2694.3213,-0.12,12.325,
2694.3255,-0.12,12.325,
2694.3294,-0.12,12.325,
2694.3333,-0.12,12.325,
2694.3374,-0.12,12.325,
2694.3414,-0.12,12.325,
2694.3452,-0.12,12.325,
2694.3494,-0.12,12.325,
2694.3534,-0.12,12.325,
2694.3574,-0.12,12.325,
2694.3614,-0.12,12.325,
2694.3654,-0.12,12.325,
2694.3693,-0.12,12.325,
2694.3693,-0.12,12.325,
2694.3734,-0.12,12.325,
2694.3774,-0.12,12.3,
2694.381,-0.12,12.3,
2694.3856,-0.12,12.325,
2694.3893,-0.12,12.325,
2694.3934,-0.12,12.325,
2694.3972,-0.12,12.325,
2694.4014,-0.12,12.325,
2694.4054,-0.12,12.325,
2694.4093,-0.12,12.325,
2694.4134,-0.12,12.325,
2694.4173,-0.12,12.325,
2694.4214,-0.12,12.325,
2694.4253,-0.12,12.325,
2694.4294,-0.12,12.325,
2694.4294,-0.12,12.325,
2694.4333,-0.12,12.325,
2694.4373,-0.12,12.325,
2694.4414,-0.12,12.325,
2694.4454,-0.12,12.325,
2694.4494,-0.12,12.325,
2694.4534,-0.12,12.325,
2694.4574,-0.12,12.325,
2694.4613,-0.12,12.325,
2694.4654,-0.12,12.325,
2694.4693,-0.12,12.325,
2694.4734,-0.12,12.325,
2694.4774,-0.12,12.325,
2694.4814,-0.12,12.325,
2694.4814,-0.12,12.325,
2694.4853,-0.12,12.325,
2694.4894,-0.12,12.3,
2694.4934,-0.12,12.3,
2694.4975,-0.12,12.3,
2694.5014,-0.12,12.3,
2694.5056,-0.12,12.3,
2694.5094,-0.12,12.3,
2694.5135,-0.12,12.3,
2694.5174,-0.12,12.325,
2694.5214,-0.12,12.3,
2694.5255,-0.12,12.3,
2694.5294,-0.12,12.3,
2694.5332,-0.12,12.325,
2694.5375,-0.12,12.325,
2694.5412,-0.12,12.325,
2694.5412,-0.12,12.325,
2694.5456,-0.12,12.325,
2694.5493,-0.12,12.325,
2694.5533,-0.12,12.325,
2694.5574,-0.12,12.325,
2694.5615,-0.12,12.325,
2694.5652,-0.12,12.325,
2694.5693,-0.12,12.325,
2694.5733,-0.12,12.325,
2694.5775,-0.12,12.325,
2694.5814,-0.12,12.325,
2694.5854,-0.12,12.325,
2694.5895,-0.12,12.325,
2694.5934,-0.12,12.325,
2694.5975,-0.12,12.325,
2694.6014,-0.12,12.325,
2694.6054,-0.12,12.325,
2694.6054,-0.12,12.325,
2694.6094,-0.12,12.325,
2694.6134,-0.12,12.325,
2694.6173,-0.12,12.325,
2694.6215,-0.12,12.325,
2694.6255,-0.12,12.325,
2694.6294,-0.12,12.325,
2694.6334,-0.12,12.325,
2694.6371,-0.12,12.325,
2694.6415,-0.12,12.325,
2694.6456,-0.12,12.325,
2694.6495,-0.12,12.325,
2694.6532,-0.12,12.325,
2694.6573,-0.12,12.325,
2694.6573,-0.12,12.325,
2694.6615,-0.12,12.325,
2694.6654,-0.12,12.325,
2694.6692,-0.12,12.325,
2694.6734,-0.12,12.325,
2694.6772,-0.12,12.325,
2694.6814,-0.12,12.325,
2694.6855,-0.12,12.325,
2694.6894,-0.12,12.325,
2694.6934,-0.12,12.325,
2694.6974,-0.12,12.325,
2694.7014,-0.12,12.325,
2694.7055,-0.12,12.325,
2694.7094,-0.12,12.325,
2694.7133,-0.12,12.325,
2694.7174,-0.12,12.325,
2694.7174,-0.12,12.325,
2694.7214,-0.12,12.325,
2694.7253,-0.12,12.325,
2694.7292,-0.12,12.325,
2694.7334,-0.12,12.325,
2694.7371,-0.12,12.325,
2694.7413,-0.12,12.325,
2694.7452,-0.12,12.325,
2694.7495,-0.12,12.325,
2694.7531,-0.12,12.325,
2694.7573,-0.12,12.325,
2694.7615,-0.12,12.325,
2694.7652,-0.12,12.325,
2694.7693,-0.12,12.325,
2694.7734,-0.12,12.325,
2694.7775,-0.12,12.325,
2694.7775,-0.12,12.325,
2694.7814,-0.12,12.325,
